City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Meulaboh,ID,4.1363,96.1285,79.45,82,100,1.92,heavy intensity rain
242,Nalut,LY,30.3333,10.85,73.58,25,84,26.73,broken clouds
243,Avarua,CK,-21.2078,-159.775,80.65,78,40,9.22,scattered clouds
244,Road Town,VG,18.4167,-64.6167,82.49,65,20,12.66,few clouds
245,Bunia,CD,1.5667,30.25,81.3,48,98,9.22,overcast clouds
246,Dikson,RU,73.5069,80.5464,-21.84,100,55,7.16,broken clouds
247,Alpena,US,45.0617,-83.4327,32.11,60,20,13.8,few clouds
248,North Bend,US,43.4065,-124.2243,48.92,99,100,10.36,mist
249,Charters Towers,AU,-20.1,146.2667,76.17,85,36,10.02,scattered clouds
250,Okaihau,NZ,-35.3167,173.7833,60.51,84,100,6.06,overcast clouds
251,Mackay,AU,-21.15,149.2,72.68,88,12,16.04,few clouds
252,Tete,MZ,-16.1564,33.5867,87.89,48,40,3.44,scattered clouds
253,Taoudenni,ML,22.6783,-3.9836,90.03,11,7,7.36,clear sky
254,Opuwo,NA,-18.0607,13.84,89.15,24,99,7.65,overcast clouds
255,Barbacoas,CO,1.6715,-78.1398,77.7,84,98,0.76,overcast clouds
256,Northam,GB,51.0333,-4.2167,59.25,62,100,4.59,overcast clouds
257,Guajara,BR,-2.9667,-57.6667,81.77,83,80,1.97,broken clouds
258,Hirara,JP,24.8,125.2833,66.47,82,100,24.16,overcast clouds
259,Georgetown,MY,5.4112,100.3354,84.13,84,40,0.0,scattered clouds
260,Chapais,CA,49.7834,-74.8492,13.78,81,100,15.84,light snow
261,Gunjur,GM,13.2019,-16.7339,93.27,31,0,9.22,clear sky
262,Aden,YE,12.7794,45.0367,83.05,76,82,16.98,broken clouds
263,Lavrentiya,RU,65.5833,-171.0,-12.91,90,100,7.18,overcast clouds
264,Bundaberg,AU,-24.85,152.35,77.22,91,26,4.0,scattered clouds
265,Agadez,NE,19.75,10.25,99.3,7,100,11.43,overcast clouds
266,Le Port,RE,-20.9373,55.2919,82.4,98,86,3.11,light rain
267,Puerto Escondido,MX,15.85,-97.0667,77.83,65,0,0.0,clear sky
268,Moreira Sales,BR,-24.0622,-53.0069,72.61,82,96,5.48,overcast clouds
269,Cherskiy,RU,68.75,161.3,-13.47,100,100,2.8,overcast clouds
270,Severo-Kurilsk,RU,50.6789,156.125,32.65,98,100,19.86,snow
271,Hami,CN,42.8,93.45,57.38,9,100,6.96,overcast clouds
272,Carndonagh,IE,55.25,-7.2667,58.62,62,94,14.63,overcast clouds
273,Nazarovo,RU,56.0064,90.3914,18.25,89,100,14.25,light snow
274,Ambon,ID,-3.6954,128.1814,77.14,88,20,6.91,few clouds
275,Ust-Tsilma,RU,65.441,52.1498,31.62,87,57,10.63,broken clouds
276,Anton Lizardo,MX,19.05,-95.9833,81.21,79,16,15.19,few clouds
277,Atbasar,KZ,51.8,68.3333,29.7,69,95,15.77,overcast clouds
278,Axim,GH,4.8699,-2.2405,85.66,67,96,10.83,overcast clouds
279,Rabo De Peixe,PT,37.8,-25.5833,56.71,77,75,6.91,light rain
280,Waddan,LY,29.1614,16.139,75.67,22,97,14.85,overcast clouds
281,La Ronge,CA,55.1001,-105.2842,17.85,45,0,9.22,clear sky
282,Esperance,AU,-33.8667,121.9,61.0,64,79,10.2,broken clouds
283,Palmer,US,42.1584,-72.3287,54.77,34,75,19.57,broken clouds
284,Tyret Pervaya,RU,53.6703,102.3106,36.79,67,7,5.5,clear sky
285,Altay,CN,47.8667,88.1167,41.81,42,66,9.1,broken clouds
286,Henties Bay,NA,-22.116,14.2845,65.35,77,25,13.22,scattered clouds
287,Nabari,JP,34.6167,136.0833,54.01,93,97,7.58,overcast clouds
288,Chicama,PE,-7.8447,-79.1469,77.54,71,100,2.77,overcast clouds
289,Kathmandu,NP,27.7167,85.3167,70.02,52,40,8.05,scattered clouds
290,Ingham,US,42.6,-84.3833,39.9,54,0,6.91,clear sky
291,Ried,DE,48.477,11.2606,53.29,27,100,5.26,overcast clouds
292,Pyapon,MM,16.2833,95.6833,86.27,58,22,9.44,few clouds
293,Lubango,AO,-14.9172,13.4925,68.5,71,100,3.33,overcast clouds
294,Cam Ranh,VN,11.9214,109.1591,80.56,89,20,1.14,few clouds
295,Asau,RO,46.4333,26.4,38.32,94,100,3.69,overcast clouds
296,Leh,IN,34.1667,77.5833,20.86,53,32,2.44,scattered clouds
297,Khor,RU,47.8861,134.9464,33.35,88,93,2.71,overcast clouds
298,Tuatapere,NZ,-46.1333,167.6833,41.97,90,11,4.72,few clouds
299,Chumikan,RU,54.7183,135.315,21.15,95,100,14.92,light snow
300,Sola,VU,-13.8833,167.55,81.72,77,14,6.44,few clouds
301,Morros,BR,-9.4467,-46.3003,83.39,57,96,7.23,overcast clouds
302,Alliston,CA,44.1501,-79.8663,34.07,50,21,13.8,few clouds
303,Bilma,NE,18.6853,12.9164,103.46,7,49,9.37,scattered clouds
304,Bambous Virieux,MU,-20.3428,57.7575,81.21,74,40,3.44,scattered clouds
